node_count,run_index,run_ms
25000,79,1.108387
25000,80,1.155937
25000,81,1.134046
25000,82,1.140398
25000,83,1.102517
25000,84,1.095152
25000,85,1.109941
25000,86,1.094471
25000,87,1.072270
25000,88,1.109249
25000,89,1.188999
25000,90,1.120480
25000,91,1.080986
25000,92,1.074754
25000,93,1.110281
25000,94,1.134647
25000,95,1.135229
25000,96,1.115019
25000,97,1.092888
25000,98,1.081196
25000,99,1.123125
25000,100,1.126541
50000,1,2.763815
50000,2,2.241632
50000,3,2.249516
50000,4,2.261339
50000,5,4.020372
50000,6,2.462367
50000,7,2.430778
50000,8,2.193771
50000,9,2.189684
50000,10,2.143757
50000,11,2.134540
50000,12,2.149057
50000,13,2.153245
50000,14,2.347572
50000,15,2.558038
50000,16,2.187029
50000,17,2.160660
50000,18,2.138247
50000,19,2.167662
50000,20,2.830340
50000,21,3.276320
50000,22,2.225902
50000,23,2.173543
50000,24,2.168644
50000,25,2.154297
50000,26,2.226313
50000,27,2.205774
50000,28,2.990683
50000,29,3.084089
50000,30,2.240760
50000,31,2.190715
50000,32,2.194253
50000,33,2.173874
50000,34,2.167002
50000,35,2.174234
50000,36,2.140422
50000,37,2.163905
50000,38,2.161391
50000,39,2.142134
50000,40,2.211525
50000,41,2.147194
50000,42,2.155590
50000,43,2.444003
50000,44,2.253213
50000,45,2.156140
50000,46,2.150159
50000,47,2.184605
50000,48,2.377077
50000,49,2.223898
50000,50,2.359624
50000,51,2.578907
50000,52,2.730783
50000,53,2.252272
50000,54,2.190105
50000,55,2.168895
50000,56,2.160839
50000,57,2.171620
50000,58,2.391545
50000,59,3.019617
50000,60,2.473238
50000,61,2.204883
50000,62,2.187600
50000,63,2.190445
50000,64,2.153436
50000,65,2.172592
50000,66,2.245178
50000,67,2.148908
50000,68,2.196958
50000,69,2.152223
50000,70,2.147034
50000,71,2.165057
50000,72,2.152824
50000,73,2.136254
50000,74,2.241832
50000,75,2.222466
50000,76,2.233707
50000,77,2.190936
50000,78,2.190105
50000,79,2.397205
50000,80,2.232214
50000,81,2.152143
50000,82,2.142996
50000,83,2.177210
50000,84,2.183402
50000,85,2.161521
50000,86,2.158706
50000,87,2.176038
50000,88,2.174976
50000,89,2.170327
50000,90,2.196106
50000,91,2.190756
50000,92,2.165608
50000,93,2.186528
50000,94,2.175498
50000,95,2.172832
50000,96,2.221674
50000,97,2.220132
50000,98,2.172652
50000,99,2.138748
50000,100,2.132115
100000,1,8.466375
100000,2,7.684903
100000,3,5.660260
100000,4,5.349625
100000,5,5.993237
100000,6,4.997321
100000,7,5.619934
100000,8,6.627783
100000,9,5.443712
100000,10,5.517090
100000,11,5.693753
100000,12,5.038299
100000,13,5.307225
100000,14,5.290023
100000,15,5.294692
100000,16,5.126235
100000,17,5.613632
100000,18,5.459442
100000,19,5.556084
100000,20,5.967899
100000,21,5.725092
100000,22,5.714672
100000,23,5.247694
100000,24,5.109503
100000,25,5.277028
100000,26,5.346009
100000,27,5.057034
100000,28,5.353542
100000,29,5.344375
100000,30,5.372959
100000,31,5.876517
100000,32,6.048271
100000,33,5.531498
100000,34,5.324839
100000,35,6.468012
100000,36,5.328495
100000,37,5.627268
100000,38,6.023855
100000,39,5.343374
100000,40,8.120404
100000,41,6.344959
100000,42,5.302196
100000,43,5.967218
100000,44,5.385723
100000,45,5.551345
100000,46,8.547839
100000,47,7.758662
100000,48,5.769456
100000,49,5.420779
100000,50,7.777988
100000,51,6.432745
100000,52,6.252124
100000,53,6.947314
100000,54,5.574538
100000,55,5.815863
100000,56,5.719562
100000,57,5.133659
100000,58,5.345828
100000,59,5.303689
100000,60,5.804402
100000,61,7.970340
100000,62,5.580190
100000,63,5.511871
100000,64,5.863443
100000,65,5.246861
100000,66,7.222473
100000,67,6.437204
100000,68,5.716797
100000,69,8.787269
100000,70,5.684396
100000,71,5.804452
100000,72,6.498218
100000,73,5.142114
100000,74,6.934501
100000,75,5.783893
100000,76,5.371166
100000,77,6.880188
100000,78,5.539001
100000,79,5.727457
100000,80,8.973210
100000,81,6.621991
100000,82,6.484814
100000,83,6.113835
100000,84,6.576215
100000,85,6.343036
100000,86,5.388709
100000,87,5.449033
100000,88,5.376226
100000,89,5.162392
100000,90,5.539172
100000,91,6.918069
100000,92,5.611629
100000,93,5.360486
100000,94,5.371356
100000,95,5.703942
100000,96,5.625535
100000,97,6.492277
100000,98,5.391294
100000,99,8.128709
100000,100,6.442894
