t,q_0,q_1,q_2,q_3,qd_0,qd_1,qd_2,qd_3,sp_0,sp_1,sp_2,sp_3,tau_0,tau_1,tau_2,tau_3
2.331999999999999851e+00,6.735753277186692367e-01,8.700284244891397512e-01,-5.635826424429219994e-01,-2.627791040429077601e-02,1.087296102943441228e-01,1.490519886621113343e-01,9.747074548994778820e-02,-1.063133395752376753e+00,6.897194086613228636e-01,8.490788746119830588e-01,-5.537509020613592403e-01,-1.878727261522388503e-01,6.897194086613228636e-01,8.490788746119830588e-01,-5.537509020613592403e-01,-1.878727261522388503e-01
2.334000000000000075e+00,6.737921563568204375e-01,8.703258402463932564e-01,-5.633858973585789132e-01,-2.843226857320849121e-02,1.084143190756027691e-01,1.487078786267283792e-01,9.837254217152095748e-02,-1.077179084458856906e+00,6.898623466054809583e-01,8.493173530465267795e-01,-5.535196275221344608e-01,-1.900057842905046313e-01,6.897194086613228636e-01,8.490788746119830588e-01,-5.537509020613592403e-01,-1.878727261522388503e-01
2.335999999999999854e+00,6.740076774124245107e-01,8.706228417060228875e-01,-5.631898260297780734e-01,-3.055836618851206360e-02,1.077605278020341145e-01,1.485007298148219301e-01,9.803566440043147423e-02,-1.063048807651785221e+00,6.900042911479790098e-01,8.495552879179935069e-01,-5.532877994633282892e-01,-1.921382268101944901e-01,6.900042911479790098e-01,8.495552879179935069e-01,-5.532877994633282892e-01,-1.921382268101944901e-01
2.338000000000000078e+00,6.742225629340309334e-01,8.709191505003068823e-01,-5.629919406092710465e-01,-3.271252516963608220e-02,1.074427608032295228e-01,1.481543971420237193e-01,9.894271025351877857e-02,-1.077079490562010466e+00,6.901452420844170765e-01,8.497926790741049397e-01,-5.530554181167687267e-01,-1.942700468021986426e-01,6.900042911479790098e-01,8.495552879179935069e-01,-5.532877994633282892e-01,-1.921382268101944901e-01
2.339999999999999858e+00,6.744361445697183433e-01,8.712150487554211065e-01,-5.627947402261108678e-01,-3.483842605280812466e-02,1.067908178436915850e-01,1.479491275571148123e-01,9.860019158009797335e-02,-1.062950441586021810e+00,6.902851992118258506e-01,8.500295263629308318e-01,-5.528224837148372206e-01,-1.964012373594210825e-01,6.902851992118258506e-01,8.500295263629308318e-01,-5.528224837148372206e-01,-1.964012373594210825e-01
2.342000000000000082e+00,6.746490857357984039e-01,8.715102499008559045e-01,-5.625957152571177122e-01,-3.699235792682332991e-02,1.064705830400332898e-01,1.476005727174126980e-01,9.951248449659319539e-02,-1.076965937007600793e+00,6.904241623286669904e-01,8.502658296328887699e-01,-5.525889964904679985e-01,-1.985317915768062824e-01,6.902851992118258506e-01,8.500295263629308318e-01,-5.528224837148372206e-01,-1.964012373594210825e-01
2.343999999999999861e+00,6.748607267078567951e-01,8.718050442673042078e-01,-5.623973866075964168e-01,-3.911803452452630725e-02,1.058204860291707960e-01,1.473971832241482982e-01,9.916432476064372670e-02,-1.062838298851488394e+00,6.905621312348337870e-01,8.505015887327448398e-01,-5.523549566771484010e-01,-2.006617025513593999e-01,6.905621312348337870e-01,8.505015887327448398e-01,-5.523549566771484010e-01,-2.006617025513593999e-01
2.346000000000000085e+00,6.750717222906091886e-01,8.720991370806875365e-01,-5.621972228823481910e-01,-4.127171137510188270e-02,1.054977913762235042e-01,1.470464066916418178e-01,1.000818626241009313e-01,-1.076838425287786727e+00,6.906991057316508309e-01,8.507368035116131821e-01,-5.521203645089179934e-01,-2.027909633821728674e-01,6.905621312348337870e-01,8.505015887327448398e-01,-5.523549566771484010e-01,-2.006617025513593999e-01
2.347999999999999865e+00,6.752814213665528920e-01,8.723928268769901573e-01,-5.619977667589978187e-01,-4.339713613694696354e-02,1.048495379718323156e-01,1.468448981513230667e-01,9.972806167517350717e-02,-1.062712380922541167e+00,6.908350856218749003e-01,8.509714738189562144e-01,-5.518852202203693436e-01,-2.049195671704423516e-01,6.908350856218749003e-01,8.509714738189562144e-01,-5.518852202203693436e-01,-2.049195671704423516e-01
2.350000000000000089e+00,6.754904701493641417e-01,8.726858106777976021e-01,-5.617964650742762744e-01,-4.555053005109716696e-02,1.045243914056251389e-01,1.464919004037170958e-01,1.006508423607722497e-01,-1.076696957075101713e+00,6.909700707096951833e-01,8.512055995045850754e-01,-5.516495240466462446e-01,-2.070475070194934819e-01,6.908350856218749003e-01,8.509714738189562144e-01,-5.518852202203693436e-01,-2.049195671704423516e-01
2.351999999999999869e+00,6.756982261079411689e-01,8.729783952251461976e-01,-5.615958822741597967e-01,-4.767567543000025138e-02,1.038779792885102110e-01,1.462922736742774399e-01,1.002914000582202370e-01,-1.062572689451541708e+00,6.911040608007329444e-01,8.514391804186592916e-01,-5.514132762234451590e-01,-2.091747760348019458e-01,6.911040608007329444e-01,8.514391804186592916e-01,-5.514132762234451590e-01,-2.091747760348019458e-01
2.354000000000000092e+00,6.759053268853925101e-01,8.732702693355319790e-01,-5.613934434312943811e-01,-4.982875849844502908e-02,1.035503887256450789e-01,1.459370551929019821e-01,1.012194214327249570e-01,-1.076541534222387408e+00,6.912370557020427464e-01,8.516722164116872218e-01,-5.511764769870137748e-01,-2.113013673240200785e-01,6.911040608007329444e-01,8.514391804186592916e-01,-5.514132762234451590e-01,-2.091747760348019458e-01
2.355999999999999872e+00,6.761111385165914367e-01,8.735617479577897360e-01,-5.611917347560028135e-01,-5.195359695098262370e-02,1.029058155994808099e-01,1.457393111288855514e-01,1.008543376457579216e-01,-1.062419226268795702e+00,6.913690552221115615e-01,8.519047073345256127e-01,-5.509391265741514498e-01,-2.134272739969929333e-01,6.913690552221115615e-01,8.519047073345256127e-01,-5.509391265741514498e-01,-2.134272739969929333e-01
2.358000000000000096e+00,6.763162900944659217e-01,8.738525117025871536e-01,-5.609881595608678939e-01,-5.410634126850831505e-02,1.025757889372403281e-01,1.453818723987155004e-01,1.017875975674753103e-01,-1.076372158762844089e+00,6.915000591708604372e-01,8.521366530383804871e-01,-5.507012252222083237e-01,-2.155524891657847608e-01,6.913690552221115615e-01,8.519047073345256127e-01,-5.509391265741514498e-01,-2.134272739969929333e-01
2.359999999999999876e+00,6.765201561995227708e-01,8.741428837262896767e-01,-5.607853258165174104e-01,-5.623084525527351218e-02,1.019330525284309480e-01,1.451860118512543207e-01,1.014168721752145563e-01,-1.062251993382598236e+00,6.916300673596436077e-01,8.523680533748063670e-01,-5.504627731690858727e-01,-2.176770059446991867e-01,6.916300673596436077e-01,8.523680533748063670e-01,-5.504627731690858727e-01,-2.176770059446991867e-01
2.362000000000000099e+00,6.767233573948125969e-01,8.744325364330115535e-01,-5.605806150795294984e-01,-5.838322292109342920e-02,1.016005976448860482e-01,1.448263533609254472e-01,1.023553684939627201e-01,-1.076188832909958704e+00,6.917590796012493826e-01,8.525989081957072724e-01,-5.502237706532361328e-01,-2.198008174503058021e-01,6.916300673596436077e-01,8.523680533748063670e-01,-5.504627731690858727e-01,-2.176770059446991867e-01
2.363999999999999879e+00,6.769252767862175002e-01,8.747218011873669763e-01,-5.603766570767585442e-01,-6.050736490705176107e-02,1.009596957024264108e-01,1.446323771777166256e-01,1.019790013854974531e-01,-1.062070992979165851e+00,6.918870957098999241e-01,8.528292173533359444e-01,-5.499842179136615883e-01,-2.219239168014562058e-01,6.918870957098999241e-01,8.528292173533359444e-01,-5.499842179136615883e-01,-2.219239168014562058e-01
2.366000000000000103e+00,6.771265264271305595e-01,8.750103421862061026e-01,-5.601708116128734094e-01,-6.265934802516685831e-02,1.006248204565415999e-01,1.442704994195488644e-01,1.029227319425539966e-01,-1.075991559057547953e+00,6.920141155012522471e-01,8.530589807002947333e-01,-5.497441151899150613e-01,-2.240462971193092623e-01,6.918870957098999241e-01,8.528292173533359444e-01,-5.499842179136615883e-01,-2.219239168014562058e-01
2.367999999999999883e+00,6.773264979286343079e-01,8.752984990030957535e-01,-5.599657301668393705e-01,-6.478310048001222066e-02,9.998575075187979277e-02,1.440784084448333835e-01,1.025407230169944200e-01,-1.061876227422677843e+00,6.921401387923977744e-01,8.532881980895349328e-01,-5.495034627220990453e-01,-2.261679515273566365e-01,6.921401387923977744e-01,8.532881980895349328e-01,-5.495034627220990453e-01,-2.261679515273566365e-01
2.370000000000000107e+00,6.775257948546015152e-01,8.755859276269254421e-01,-5.597587507955492647e-01,-6.693466115957158458e-02,9.964846298362001198e-02,1.437143119148474590e-01,1.034896856450640695e-01,-1.075780339779682793e+00,6.922651654018631140e-01,8.535168693743574453e-01,-5.492622607508661492e-01,-2.282888731514389757e-01,6.921401387923977744e-01,8.532881980895349328e-01,-5.495034627220990453e-01,-2.261679515273566365e-01
2.371999999999999886e+00,6.777238173012225531e-01,8.758729758409041777e-01,-5.595525467259260255e-01,-6.905799655808199378e-02,9.901122331052025771e-02,1.435241069893866406e-01,1.031020348116001434e-01,-1.061667699255201880e+00,6.923891951496099484e-01,8.537449944084126718e-01,-5.490205095174183203e-01,-2.304090551197709447e-01,6.923891951496099484e-01,8.537449944084126718e-01,-5.490205095174183203e-01,-2.304090551197709447e-01
2.374000000000000110e+00,6.779211603629045069e-01,8.761592914252788189e-01,-5.593444342712564632e-01,-7.120910691374343626e-02,9.867153084095409143e-02,1.431577921873246895e-01,1.040562273347707262e-01,-1.075555177830718634e+00,6.925122278570352563e-01,8.539725730457007336e-01,-5.487782092635066222e-01,-2.325284905629669274e-01,6.923891951496099484e-01,8.537449944084126718e-01,-5.490205095174183203e-01,-2.304090551197709447e-01
2.375999999999999890e+00,6.781172326009352602e-01,8.764452303735755789e-01,-5.591371084022309645e-01,-7.333199773613688355e-02,9.803611901535971840e-02,1.429694741483778786e-01,1.036629345127265261e-01,-1.061445411196723310e+00,6.926342633469722010e-01,8.541996051405710277e-01,-5.485353602314314569e-01,-2.346471726140569314e-01,6.926342633469722010e-01,8.541996051405710277e-01,-5.485353602314314569e-01,-2.346471726140569314e-01
2.378000000000000114e+00,6.783126206602287933e-01,8.767304322567309738e-01,-5.589278636927380584e-01,-7.548262988842738275e-02,9.769402964676393575e-02,1.426009415777220179e-01,1.046223547464299186e-01,-1.075316076145250044e+00,6.927553014436896861e-01,8.544260905477234491e-01,-5.482919626640417876e-01,-2.367650944085128994e-01,6.926342633469722010e-01,8.541996051405710277e-01,-5.485353602314314569e-01,-2.346471726140569314e-01
2.379999999999999893e+00,6.785067415472421093e-01,8.770152612792490032e-01,-5.587194168530074112e-01,-7.760504862071758436e-02,9.706044350666248599e-02,1.424145112590246842e-01,1.042234198653186616e-01,-1.061209366145102306e+00,6.928753419728926888e-01,8.546520291222068355e-01,-5.480480168047351386e-01,-2.388822490842690827e-01,6.928753419728926888e-01,8.546520291222068355e-01,-5.480480168047351386e-01,-2.388822490842690827e-01
2.382000000000000117e+00,6.787001734772873940e-01,8.772993488021030295e-01,-5.585090407217748742e-01,-7.975517469639370471e-02,9.671596502262576334e-02,1.420437614270177451e-01,1.051880656162865330e-01,-1.075063037838063229e+00,6.929943847617230368e-01,8.548774207194209662e-01,-5.478035228974572624e-01,-2.409986297817482415e-01,6.928753419728926888e-01,8.546520291222068355e-01,-5.480480168047351386e-01,-2.388822490842690827e-01
2.383999999999999897e+00,6.788923418821432021e-01,8.775830672414205447e-01,-5.582994737445431399e-01,-8.187709383074574798e-02,9.608420242791398946e-02,1.418592196587579179e-01,1.047834886158698769e-01,-1.060959567176023688e+00,6.931124296387590755e-01,8.551022651951147857e-01,-5.475584811867022506e-01,-2.431142296438777439e-01,6.931124296387590755e-01,8.551022651951147857e-01,-5.475584811867022506e-01,-2.431142296438777439e-01
2.386000000000000121e+00,6.790838165673300786e-01,8.778660397475733790e-01,-5.580879670291789552e-01,-8.402668596315406024e-02,9.573734259343796849e-02,1.414862530764233461e-01,1.057533576820923332e-01,-1.074796066204158018e+00,6.932294764340161120e-01,8.553265624053882910e-01,-5.473128919175115348e-01,-2.452290418161158503e-01,6.931124296387590755e-01,8.551022651951147857e-01,-5.475584811867022506e-01,-2.431142296438777439e-01
2.387999999999999901e+00,6.792740313701816079e-01,8.781486469489437896e-01,-5.578772807521540367e-01,-8.614807799824010515e-02,9.510740142578733014e-02,1.413036006852195769e-01,1.053431385124347502e-01,-1.060696017543022451e+00,6.933455249789469699e-01,8.555503122066908661e-01,-5.470667553354746637e-01,-2.473430594464719467e-01,6.933455249789469699e-01,8.555503122066908661e-01,-5.470667553354746637e-01,-2.473430594464719467e-01
2.390000000000000124e+00,6.794635477061563567e-01,8.784305037846785735e-01,-5.576646442947877924e-01,-8.829710832767742601e-02,9.475816798738900815e-02,1.409284178673811117e-01,1.063182286831177714e-01,-1.074515164718659710e+00,6.934605751064416568e-01,8.557735144558229479e-01,-5.468200716867279709e-01,-2.494562756855329133e-01,6.933455249789469699e-01,8.555503122066908661e-01,-5.470667553354746637e-01,-2.473430594464719467e-01
2.391999999999999904e+00,6.796518077984565753e-01,8.787119990960310378e-01,-5.574528395601785480e-01,-9.041794576903221248e-02,9.413004615011234810e-02,1.407476556762599085e-01,1.059023673046434744e-01,-1.060418720677392956e+00,6.935746266508280300e-01,8.559961690099349152e-01,-5.465728412179552409e-01,-2.515686836864788334e-01,6.935746266508280300e-01,8.559961690099349152e-01,-5.465728412179552409e-01,-2.515686836864788334e-01
2.394000000000000128e+00,6.798393646921284672e-01,8.789927396103142110e-01,-5.572390742074582182e-01,-9.256638644310589970e-02,9.377844683592478914e-02,1.403702571415616496e-01,1.068826763601668506e-01,-1.074220337036841055e+00,6.936876794478719077e-01,8.562182757265279776e-01,-5.463250641763868209e-01,-2.536802766051097224e-01,6.935746266508280300e-01,8.559961690099349152e-01,-5.465728412179552409e-01,-2.515686836864788334e-01
2.395999999999999908e+00,6.800256689766361884e-01,8.792731223822540798e-01,-5.570261518619707974e-01,-9.468664180348232429e-02,9.315214225384366165e-02,1.401913859699328857e-01,1.064611727437196759e-01,-1.060127680188215127e+00,6.937997333347771800e-01,8.564398344634538418e-01,-5.460767408097996212e-01,-2.557910475998652622e-01,6.937997333347771800e-01,8.564398344634538418e-01,-5.460767408097996212e-01,-2.557910475998652622e-01
2.398000000000000131e+00,6.802112653461835912e-01,8.795527459267358239e-01,-5.568112584650596331e-01,-9.683446497747039139e-02,9.279818477371507002e-02,1.398117722408596386e-01,1.074466984555925847e-01,-1.073911586994031664e+00,6.939107881501863639e-01,8.566608450789148232e-01,-5.458278713665172255e-01,-2.579009898318513905e-01,6.937997333347771800e-01,8.564398344634538418e-01,-5.460767408097996212e-01,-2.557910475998652622e-01
2.399999999999999911e+00,6.803956127369696905e-01,8.798320155125448627e-01,-5.565972193598947015e-01,-9.895411077719490356e-02,9.217369539302842918e-02,1.396347929044959579e-01,1.070195525824901434e-01,-1.059822899862259415e+00,6.940208437341804926e-01,8.568813074314641787e-01,-5.455784560954090034e-01,-2.600100964648560664e-01,6.940208437341804926e-01,8.568813074314641787e-01,-5.455784560954090034e-01,-2.600100964648560664e-01
